DispositionScore,OrbitalPeriod[days,OrbitalPeriodUpperUnc.[days,OrbitalPeriodLowerUnc.[days,TransitEpoch[BKJD,TransitEpochUpperUnc.[BKJD,TransitEpochLowerUnc.[BKJD,ImpactParamete,ImpactParameterUpperUnc,ImpactParameterLowerUnc,TransitDuration[hrs,TransitDurationUpperUnc.[hrs,TransitDurationLowerUnc.[hrs,TransitDepth[ppm,TransitDepthUpperUnc.[ppm,TransitDepthLowerUnc.[ppm,PlanetaryRadius[Earthradii,PlanetaryRadiusUpperUnc.[Earthradii,PlanetaryRadiusLowerUnc.[Earthradii,EquilibriumTemperature[K,InsolationFlux[Earthflux,InsolationFluxUpperUnc.[Earthflux,InsolationFluxLowerUnc.[Earthflux,TransitSignal-to-Nois,TCEPlanetNumbe,StellarEffectiveTemperature[K,StellarEffectiveTemperatureUpperUnc.[K,StellarEffectiveTemperatureLowerUnc.[K,StellarSurfaceGravity[log10(cm/s**2),StellarSurfaceGravityUpperUnc.[log10(cm/s**2),StellarSurfaceGravityLowerUnc.[log10(cm/s**2),StellarRadius[Solarradii,StellarRadiusUpperUnc.[Solarradii,StellarRadiusLowerUnc.[Solarradii,RA[decimaldegrees,Dec[decimaldegrees,Kepler-band[mag],ExoplanetCandidate,ExoplanetConfirmed
0.0,30.13013,4.37e-06,-4.37e-06,152.231115,0.000116,-0.000116,0.631,0.015,-0.015,13.4919,0.0063,-0.0063,281000.0,142.0,-142.0,83.75,18.7,-12.4,753.0,76.07,48.23,-27.78,2583.7,1.0,6674.0,150.0,-218.0,4.286,0.088,-0.143,1.347,0.3,-0.2,292.10236,42.252239,13.076,0,0
0.987,302.779824,0.00959,-0.00959,355.5989,0.0268,-0.0268,0.001,0.44,-0.001,16.847,0.721,-0.721,271.0,25.2,-25.2,1.31,0.34,-0.12,246.0,0.87,0.66,-0.22,12.3,1.0,5734.0,154.0,-154.0,4.572,0.042,-0.168,0.797,0.207,-0.069,295.98404,40.043621,14.16,1,1
0.986,16.08832318,8.78e-05,-8.78e-05,139.49184,0.00433,-0.00433,0.648,0.29,-0.43,5.731,0.143,-0.143,598.0,19.7,-19.7,3.42,0.58,-0.58,875.0,138.64,66.48,-50.36,31.3,1.0,6157.0,123.0,-123.0,4.224,0.149,-0.108,1.33,0.225,-0.225,292.47971,38.514919,15.319,1,2
0.571,89.945828,0.00172,-0.00172,133.5634,0.0169,-0.0169,0.171,0.29,-0.171,2.286,0.539,-0.539,336.0,71.2,-71.2,3.46,2.21,-2.21,509.0,15.86,32.13,-14.02,6.6,2.0,5115.0,153.0,-138.0,3.819,0.791,-0.339,1.924,1.231,-1.231,289.72791,41.612289,13.64,1,1
0.0,58.3437362,0.00052,-0.00052,169.90401,0.00774,-0.00774,1.246,31.11,-0.036,22.482,0.379,-0.379,1270.0,19.7,-19.7,93.55,17.3,-40.3,779.0,87.03,50.35,-62.08,75.0,1.0,5896.0,176.0,-176.0,3.65,0.36,-0.12,3.006,0.555,-1.296,300.02124,46.090778,12.33,0,0
0.005,8.97349999,2.09e-05,-2.09e-05,171.03075,0.00174,-0.00174,0.56,0.361,-0.361,3.1408,0.0559,-0.0559,935.0,23.5,-23.5,36.0,5.85,-8.77,2262.0,6178.9,2629.63,-2890.61,44.1,1.0,4751.0,64.0,-85.0,2.52,0.148,-0.121,11.536,1.874,-2.811,286.65604,46.783543,12.96,0,0
0.999,4.48758768,1.66e-05,-1.66e-05,133.36092,0.00319,-0.00319,0.532,0.406,-0.332,2.874,0.0927,-0.0927,112.0,5.0,-5.0,1.37,0.22,-0.26,1305.0,684.07,305.9,-274.85,25.9,1.0,6060.0,120.0,-132.0,4.227,0.168,-0.112,1.257,0.197,-0.241,284.86014,39.240551,13.446,1,2
0.0,1.399326503,5.17e-06,-5.17e-06,133.61426,0.00294,-0.00294,0.009,0.426,-0.009,1.8305,0.0978,-0.0978,206.0,11.1,-11.1,1.0,0.04,-0.09,1143.0,402.58,84.28,-100.99,22.7,1.0,4502.0,137.0,-123.0,4.572,0.056,-0.02,0.728,0.026,-0.062,289.32101,46.134319,15.447,0,0
0.0,0.755101141,6.11e-06,-6.11e-06,131.8211,0.00811,-0.00811,0.523,0.004,-0.491,3.371,0.238,-0.238,76.7,7.1,-7.1,0.19,0.02,-0.02,680.0,50.92,20.28,-12.1,13.4,1.0,3256.0,39.0,-29.0,5.071,0.044,-0.044,0.207,0.032,-0.023,284.33002,40.736401,15.237,0,0
0.0,0.566798827,3.86e-06,-3.86e-06,131.81946,0.00551,-0.00551,0.25,0.231,-0.25,3.662,0.183,-0.183,34.9,2.3,-2.3,0.52,0.13,-0.07,2045.0,4154.8,3162.13,-1412.99,21.9,1.0,5548.0,182.0,-182.0,4.473,0.087,-0.163,0.889,0.217,-0.117,291.18863,42.59071,13.656,0,0
0.0,313.0927507,6.67e-05,-6.67e-05,424.715381,0.000106,-0.000106,0.395,0.008,-0.007,14.3447,0.0075,-0.0075,446000.0,378.0,-378.0,47.52,4.59,-4.59,207.0,0.44,0.15,-0.12,1952.3,1.0,5067.0,151.0,-151.0,4.596,0.072,-0.042,0.673,0.065,-0.065,281.7179,44.873989,15.638,0,0
